Paper title,Year,Venue or preprint status,Link,Code / project page if available,Core problem,Input assumptions,Representation used,Whether it uses 3DGS / 2DGS / surface Gaussians / SDF / mesh / neural field / hybrid representation,Whether it handles specular reflection,Whether it handles mirror-like reflection,Whether it handles near-field reflection,Whether it handles inter-reflection,Whether it outputs mesh,Whether it outputs UV texture maps,Whether it outputs PBR material maps,Whether it supports relighting,Whether it supports material editing,Geometry supervision,Normal estimation strategy,Material decomposition strategy,Rendering model,Main loss functions,Datasets,Metrics,Strengths,Limitations explicitly stated by the authors,Limitations inferred by you,Key evidence: section / page / figure / equation reference
2D Gaussian Splatting for Geometrically Accurate Radiance Fields,2024,SIGGRAPH / TOG,https://arxiv.org/abs/2403.17888,https://surfsplatting.github.io/,Surface-accurate radiance fields and mesh extraction.,Posed RGB; SfM initialization.,Oriented 2D Gaussian disks.,2DGS / surface Gaussians,View-dependent color only,No,No,No,"Yes, via depth fusion",No,No,No,No,RGB plus depth distortion and normal consistency.,Disk normals with depth-normal consistency.,None,Perspective-correct 2D Gaussian alpha compositing.,"RGB, depth distortion, normal consistency.","DTU, Tanks and Temples, Mip-NeRF360.",PSNR/SSIM/LPIPS and/or geometry metrics,Turns volumetric splats into surface-like primitives.,Motivated by 3DGS surface inaccuracy.,Specular highlights can still be absorbed into color and bias surface depth.,Local PDF abstract; Sec. 3 losses.
3D Gaussian Splatting with Self-Constrained Priors for High Fidelity Surface Reconstruction,2025,arXiv preprint,local PDF,,Improve 3DGS surface quality.,Posed RGB.,3DGS with self-constrained geometry priors.,3DGS,No,No,No,No,Yes,No,No,No,No,Self constraints from rendered geometry.,Gaussian/depth normals.,None,Differentiable image rendering,RGB plus self-constrained geometry regularizers.,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Reduces geometry noise without extra sensors.,See paper limitation/discussion where available,Reflective surfaces remain underconstrained because reflection transport is not modeled.,Local PDF abstract/Sec. 1.
3DGSR: Implicit Surface Reconstruction with 3D Gaussian Splatting,2024,arXiv / ACM-linked,https://arxiv.org/abs/2404.00409,https://github.com/CVMI-Lab/3DGSR,Joint 3DGS rendering and SDF surface reconstruction.,Posed RGB.,3D Gaussians plus neural SDF.,Hybrid 3DGS + SDF,No,No,No,No,"Yes, SDF mesh",No,No,No,No,SDF-to-opacity and Gaussian/SDF consistency.,SDF gradients aligned with rendered Gaussian normals.,None,Gaussian rasterization plus SDF-derived opacity.,"RGB, Eikonal/SDF, depth and normal consistency.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,SDF improves coherent surface extraction.,See paper limitation/discussion where available,Specular radiance is still baked unless reflection/material factors are explicit.,Local PDF abstract; Sec. 3.
Toward a Theory of Shape from Specular Flow,2007,Vision theory paper,local PDF,,Theoretical relation between specular flow and shape.,Known motion/environment assumptions.,Differential specular geometry.,Classical geometry,Yes,Yes,Under assumptions,No,No,No,No,No,No,Specular-flow constraints.,Differential surface constraints from reflection flow.,None,Analytic mirror reflection geometry.,Specular-flow equations.,Synthetic/theoretical examples.,Qualitative/theoretical identifiability.,Shows reflections contain shape information.,Requires strong assumptions on environment/motion.,Hard to use directly for uncontrolled posed RGB captures.,Local PDF Sec. theory pages.
Specular Flow and the Recovery of Surface Structure,2006,ECCV/IJCV-era vision paper,local PDF,,Recover shape from specular image motion.,Smooth specular surface and motion cues.,Specular-flow field.,Classical geometry,Yes,Yes,Under assumptions,No,No,No,No,No,No,Specular-flow observations.,Normals from flow constraints.,None,Geometric reflection model.,Flow consistency.,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Foundational specular shape prior.,Strong calibration/environment assumptions.,Does not provide mesh/material pipeline for sparse multiview RGB.,Local PDF abstract; Sec. 2-4.
Deep Flow Rendering: View Synthesis via Layer-aware Reflection Flow,2022,Eurographics Symposium on Rendering,local PDF,,View synthesis with reflection layers.,Input views with reflection layers.,Neural image-based rendering with reflection flow.,Neural image-based hybrid,Yes,Partial,Implicit,No,No,No,No,No,No,Photometric multiview supervision,Not central or derived from geometry,None,Layer-aware neural rendering.,Photometric and flow/rendering losses.,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Models reflection motion better than single radiance field.,NVS rather than reconstruction.,"No mesh, UV, or PBR material recovery.",Local PDF abstract.
DN-Splatter: Depth and Normal Priors for Gaussian Splatting and Meshing,2025,WACV,https://arxiv.org/abs/2403.17822,https://maturk.github.io/dn-splatter/,Regularize GS geometry and meshing with priors.,Posed RGB plus depth/normal priors.,3DGS with external priors.,3DGS,No,No,No,No,Yes,No,No,No,No,Monocular/depth priors and adaptive depth supervision.,Monocular normal priors and local smoothness.,None,Differentiable image rendering,"RGB, depth, normal, smoothness losses.",Indoor reconstruction datasets.,PSNR/SSIM/LPIPS and/or geometry metrics,Helpful for weak geometric signal.,Prior quality matters.,Reflective surfaces may violate learned monocular priors.,Local PDF abstract; WACV abstract.
EnvGS: Modeling View-Dependent Appearance with Environment Gaussian,2025,arXiv preprint,local PDF,,Model view-dependent appearance in GS.,Posed RGB static scenes.,3DGS plus environment Gaussian appearance.,3DGS + appearance field,"Yes, appearance-level",Partial,No,No,No,No,No,No,No,Photometric multiview supervision,Not central or derived from geometry,"Appearance factorization, not physical material.",Gaussian rasterization with environment appearance.,RGB reconstruction plus regularization,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Efficient view-dependent rendering.,See paper limitation/discussion where available,Near-field reflected objects and PBR maps are not explicit.,Local PDF abstract/Sec. 3.
SSR-GS: Separating Specular Reflection in Gaussian Splatting for Glossy Surface Reconstruction,2026,arXiv preprint,https://arxiv.org/abs/2603.05152,project linked from arXiv,Separate direct and indirect specular reflection for glossy reconstruction.,Posed RGB; visual geometry priors.,3DGS plus mip-cubemap and anisotropic SG.,3DGS + reflection model,Yes,Glossy partial,Approximate,Indirect specular component,Likely surface/depth,No,No,No,No,Visual geometry priors and reflection-score weighting.,Prior-transformed normal constraints.,Direct/indirect specular separation.,Gaussian rasterization plus cubemap/SG reflection.,"RGB, reflection-score weighted geometry, depth, normal.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Explicit reflective-region treatment.,Preprint; prior dependent.,No UV-ready PBR asset; priors can bias unusual reflections.,Local PDF; arXiv abstract.
Gaussian Opacity Fields: Efficient and Compact Surface Reconstruction in Unbounded Scenes,2024,arXiv / CVPR-related,https://arxiv.org/abs/2404.10772,,Extract surfaces from Gaussian opacity fields.,Trained/optimized 3DGS.,Gaussian opacity field and marching tetrahedra.,3DGS / opacity field / mesh,No,No,No,No,Yes,No,No,No,No,Opacity and geometry regularization.,Ray-Gaussian intersection-plane normals.,None,Ray-tracing/opacity level-set extraction.,RGB reconstruction plus regularization,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Avoids Poisson/TSDF dependence.,See paper limitation/discussion where available,Reflective radiance can create opacity artifacts.,Local PDF abstract.
